outbreak_setting,causative_agent,month,duration
Hospital-Chronic Care,COVID-19,Jan,14
Hospital-Acute Care,COVID-19,Jan,13
LTCH,COVID-19,Jan,26
LTCH,COVID-19,Jan,39
Hospital-Acute Care,COVID-19,Jan,17
LTCH,COVID-19,Jan,23
LTCH,COVID-19,Jan,34
LTCH,COVID-19,Jan,62
LTCH,COVID-19,Jan,35
Hospital-Chronic Care,COVID-19,Jan,14
Hospital-Acute Care,COVID-19,Jan,22
Hospital-Chronic Care,COVID-19,Jan,19
Hospital-Acute Care,COVID-19,Jan,44
Hospital-Acute Care,COVID-19,Jan,12
Hospital-Acute Care,COVID-19,Jan,13
LTCH,COVID-19,Jan,37
Hospital-Acute Care,COVID-19,Jan,29
LTCH,COVID-19,Jan,41
Hospital-Chronic Care,COVID-19,Jan,25
Hospital-Acute Care,COVID-19,Jan,17
Hospital-Acute Care,COVID-19,Jan,16
Hospital-Acute Care,COVID-19,Jan,11
LTCH,COVID-19,Jan,38
Hospital-Acute Care,COVID-19,Jan,23
LTCH,COVID-19,Jan,16
Retirement Home,COVID-19,Jan,27
Hospital-Acute Care,COVID-19,Jan,28
LTCH,COVID-19,Jan,24
LTCH,COVID-19,Jan,20
Hospital-Acute Care,COVID-19,Jan,12
Retirement Home,COVID-19,Jan,22
LTCH,COVID-19,Jan,15
Retirement Home,COVID-19,Jan,36
Hospital-Chronic Care,COVID-19,Jan,8
Hospital-Chronic Care,COVID-19,Jan,20
Hospital-Acute Care,COVID-19,Jan,13
Hospital-Acute Care,COVID-19,Jan,25
LTCH,COVID-19,Jan,23
Hospital-Chronic Care,COVID-19,Jan,28
Hospital-Chronic Care,COVID-19,Jan,19
Hospital-Acute Care,COVID-19,Jan,16
LTCH,COVID-19,Jan,42
LTCH,COVID-19,Jan,48
Hospital-Acute Care,COVID-19,Jan,14
Hospital-Chronic Care,COVID-19,Jan,37
LTCH,COVID-19,Jan,18
Hospital-Chronic Care,COVID-19,Jan,25
LTCH,COVID-19,Jan,44
Hospital-Acute Care,COVID-19,Jan,26
LTCH,COVID-19,Jan,37
LTCH,COVID-19,Jan,44
Hospital-Chronic Care,COVID-19,Jan,50
Hospital-Acute Care,COVID-19,Jan,25
Hospital-Chronic Care,COVID-19,Jan,36
Hospital-Acute Care,COVID-19,Jan,5
LTCH,COVID-19,Jan,45
Retirement Home,COVID-19,Jan,44
LTCH,COVID-19,Jan,44
Hospital-Chronic Care,COVID-19,Jan,32
LTCH,COVID-19,Jan,49
LTCH,Influenza,Dec,13
Retirement Home,COVID-19,Dec,23
LTCH,COVID-19,Dec,20
Retirement Home,Respiratory syncytial virus,Dec,9
Retirement Home,COVID-19,Dec,14
LTCH,COVID-19,Dec,34
LTCH,Respiratory syncytial virus,Dec,14
LTCH,COVID-19,Dec,10
LTCH,COVID-19,Dec,11
LTCH,COVID-19,Dec,20
LTCH,COVID-19,Dec,27
Hospital-Chronic Care,COVID-19,Dec,25
LTCH,COVID-19,Dec,27
Hospital-Chronic Care,COVID-19,Dec,20
Hospital-Acute Care,COVID-19,Dec,13
LTCH,COVID-19,Dec,18
LTCH,COVID-19,Dec,22
LTCH,COVID-19,Dec,19
Hospital-Chronic Care,COVID-19,Dec,14
LTCH,COVID-19,Dec,20
LTCH,COVID-19,Dec,17
Retirement Home,COVID-19,Dec,22
Hospital-Acute Care,COVID-19,Dec,23
LTCH,Respiratory syncytial virus,Dec,19
LTCH,Respiratory syncytial virus,Dec,9
LTCH,Norovirus,Dec,8
Retirement Home,Influenza,Dec,21
Hospital-Acute Care,COVID-19,Dec,10
LTCH,Norovirus,Dec,19
LTCH,COVID-19,Dec,30
LTCH,COVID-19,Dec,38
LTCH,Respiratory syncytial virus,Dec,13
Retirement Home,Norovirus,Dec,18
Hospital-Psychiatric,COVID-19,Dec,20
Hospital-Chronic Care,COVID-19,Dec,17
Hospital-Chronic Care,COVID-19,Dec,16
Hospital-Acute Care,COVID-19,Dec,14
LTCH,COVID-19,Dec,24
Retirement Home,COVID-19,Dec,11
Hospital-Acute Care,COVID-19,Dec,10
Hospital-Chronic Care,Respiratory syncytial virus,Dec,6
Hospital-Acute Care,COVID-19,Dec,9
LTCH,Influenza,Dec,14
Retirement Home,COVID-19,Dec,13
Hospital-Acute Care,COVID-19,Dec,22
Retirement Home,Norovirus,Dec,16
Hospital-Chronic Care,COVID-19,Dec,14
LTCH,Respiratory syncytial virus,Dec,6
LTCH,COVID-19,Dec,20
LTCH,COVID-19,Dec,28
Hospital-Chronic Care,COVID-19,Dec,18
Hospital-Acute Care,COVID-19,Dec,20
Hospital-Acute Care,COVID-19,Dec,14
LTCH,Influenza,Dec,12
LTCH,COVID-19,Dec,17
Hospital-Chronic Care,COVID-19,Dec,21
Retirement Home,COVID-19,Dec,49
Hospital-Acute Care,COVID-19,Dec,9
LTCH,Respiratory syncytial virus,Dec,28
Hospital-Acute Care,COVID-19,Dec,18
LTCH,COVID-19,Dec,24
Hospital-Chronic Care,COVID-19,Dec,10
LTCH,COVID-19,Dec,21
Hospital-Acute Care,COVID-19,Dec,8
Hospital-Acute Care,COVID-19,Dec,6
LTCH,COVID-19,Dec,46
LTCH,COVID-19,Dec,9
Hospital-Acute Care,COVID-19,Dec,19
LTCH,COVID-19,Dec,13
Retirement Home,Respiratory syncytial virus,Dec,9
LTCH,Enterovirus/Rhinovirus,Dec,14
LTCH,COVID-19,Dec,29
Retirement Home,COVID-19,Dec,9
LTCH,COVID-19,Dec,20
Hospital-Chronic Care,COVID-19,Dec,10
Retirement Home,COVID-19,Dec,11
LTCH,Influenza,Dec,9
LTCH,Respiratory syncytial virus,Dec,37
Hospital-Chronic Care,COVID-19,Dec,20
Hospital-Acute Care,COVID-19,Dec,10
Retirement Home,Parainfluenza,Dec,8
LTCH,Influenza,Dec,20
Hospital-Chronic Care,Respiratory syncytial virus,Dec,7
LTCH,Respiratory syncytial virus,Dec,10
LTCH,COVID-19,Dec,23
Hospital-Acute Care,COVID-19,Dec,9
Hospital-Acute Care,COVID-19,Dec,9
LTCH,COVID-19,Dec,18
LTCH,COVID-19,Dec,30
LTCH,Influenza,Dec,9
LTCH,COVID-19,Dec,25
LTCH,COVID-19,Dec,49
LTCH,COVID-19,Dec,25
Hospital-Acute Care,COVID-19,Dec,11
Hospital-Chronic Care,COVID-19,Dec,10
Retirement Home,Norovirus,Dec,18
LTCH,Respiratory syncytial virus,Dec,26
LTCH,Influenza,Dec,12
LTCH,COVID-19,Dec,43
LTCH,COVID-19,Dec,14
Retirement Home,Respiratory syncytial virus,Dec,16
LTCH,Coronavirus,Dec,21
LTCH,COVID-19,Dec,9
LTCH,COVID-19,Dec,37
Hospital-Chronic Care,COVID-19,Dec,16
Retirement Home,COVID-19,Dec,16
Hospital-Chronic Care,COVID-19,Dec,9
Retirement Home,COVID-19,Dec,16
Hospital-Acute Care,COVID-19,Dec,11
LTCH,COVID-19,Dec,44
Hospital-Chronic Care,COVID-19,Dec,15
Retirement Home,Enterovirus/Rhinovirus,Dec,7
Hospital-Chronic Care,COVID-19,Dec,18
LTCH,Influenza,Dec,17
Hospital-Acute Care,COVID-19,Dec,12
LTCH,COVID-19,Dec,25
Retirement Home,COVID-19,Dec,44
LTCH,COVID-19,Dec,58
LTCH,COVID-19,Dec,18
LTCH,Respiratory syncytial virus,Dec,11
Retirement Home,COVID-19,Dec,18
Hospital-Chronic Care,COVID-19,Dec,19
LTCH,COVID-19,Dec,10
Hospital-Acute Care,Influenza,Dec,14
LTCH,Influenza,Nov,9
LTCH,Influenza,Nov,14
LTCH,Influenza,Nov,16
LTCH,Influenza,Nov,5
LTCH,Respiratory syncytial virus,Nov,30
Retirement Home,COVID-19,Nov,18
Retirement Home,COVID-19,Nov,15
LTCH,Influenza,Nov,6
Hospital-Chronic Care,COVID-19,Nov,9
Retirement Home,Influenza,Nov,6
LTCH,COVID-19,Nov,20
Hospital-Chronic Care,COVID-19,Nov,11
Hospital-Chronic Care,COVID-19,Nov,15
Hospital-Acute Care,COVID-19,Nov,12
LTCH,COVID-19,Nov,10
Hospital-Acute Care,Influenza,Nov,8
LTCH,Influenza,Nov,9
Retirement Home,COVID-19,Nov,14
Retirement Home,Influenza,Nov,21
LTCH,Influenza,Nov,12
LTCH,COVID-19,Nov,9
Retirement Home,COVID-19,Nov,36
LTCH,Respiratory syncytial virus,Nov,18
LTCH,COVID-19,Nov,11
Hospital-Acute Care,COVID-19,Nov,9
Hospital-Acute Care,COVID-19,Nov,26
LTCH,COVID-19,Nov,9
Retirement Home,Influenza,Nov,6
Retirement Home,COVID-19,Nov,10
Retirement Home,COVID-19,Nov,17
Hospital-Chronic Care,COVID-19,Nov,18
LTCH,Respiratory syncytial virus,Nov,25
Hospital-Chronic Care,COVID-19,Nov,12
Retirement Home,COVID-19,Nov,19
LTCH,Influenza,Nov,12
Hospital-Chronic Care,COVID-19,Nov,19
Retirement Home,COVID-19,Nov,21
LTCH,Influenza,Nov,26
LTCH,Influenza,Nov,14
LTCH,Influenza,Nov,9
Hospital-Chronic Care,COVID-19,Nov,29
LTCH,Influenza,Nov,48
Hospital-Acute Care,Influenza,Nov,16
Hospital-Acute Care,COVID-19,Nov,9
Hospital-Acute Care,COVID-19,Nov,17
LTCH,COVID-19,Nov,28
LTCH,Respiratory syncytial virus,Nov,18
Retirement Home,COVID-19,Nov,9
Hospital-Chronic Care,COVID-19,Nov,11
Retirement Home,Influenza,Nov,19
LTCH,COVID-19,Nov,10
LTCH,Influenza,Nov,15
Hospital-Chronic Care,COVID-19,Nov,21
Hospital-Chronic Care,COVID-19,Nov,10
Hospital-Chronic Care,COVID-19,Nov,10
LTCH,COVID-19,Nov,10
LTCH,Respiratory syncytial virus,Nov,40
LTCH,Influenza,Nov,19
LTCH,COVID-19,Nov,34
Retirement Home,COVID-19,Nov,25
LTCH,COVID-19,Nov,15
Hospital-Chronic Care,COVID-19,Nov,10
Hospital-Acute Care,COVID-19,Nov,15
LTCH,Enterovirus/Rhinovirus,Nov,11
Retirement Home,COVID-19,Nov,18
Hospital-Acute Care,Influenza,Nov,7
LTCH,COVID-19,Nov,28
LTCH,Respiratory syncytial virus,Nov,30
LTCH,COVID-19,Nov,28
LTCH,COVID-19,Nov,41
Retirement Home,COVID-19,Nov,26
Hospital-Chronic Care,COVID-19,Nov,21
LTCH,Enterovirus/Rhinovirus,Nov,23
Retirement Home,COVID-19,Nov,13
LTCH,Influenza,Nov,11
LTCH,COVID-19,Nov,14
LTCH,Enterovirus/Rhinovirus,Nov,28
LTCH,Influenza,Nov,7
Hospital-Acute Care,COVID-19,Nov,14
LTCH,Coronavirus,Nov,6
LTCH,Influenza,Nov,10
Hospital-Acute Care,COVID-19,Nov,22
LTCH,COVID-19,Nov,30
LTCH,COVID-19,Nov,19
Hospital-Acute Care,COVID-19,Nov,7
Hospital-Chronic Care,COVID-19,Nov,12
Hospital-Chronic Care,COVID-19,Nov,14
Hospital-Chronic Care,COVID-19,Nov,13
LTCH,COVID-19,Nov,14
LTCH,COVID-19,Nov,47
Hospital-Acute Care,COVID-19,Nov,6
Hospital-Acute Care,COVID-19,Nov,10
Hospital-Acute Care,Influenza,Nov,13
LTCH,COVID-19,Nov,29
Hospital-Acute Care,COVID-19,Nov,8
Retirement Home,Metapneumovirus,Nov,5
LTCH,Influenza,Nov,14
LTCH,Enterovirus/Rhinovirus,Nov,6
LTCH,Respiratory syncytial virus,Nov,37
Hospital-Chronic Care,Influenza,Nov,20
Retirement Home,COVID-19,Nov,13
Hospital-Acute Care,Respiratory syncytial virus,Nov,38
Hospital-Chronic Care,Influenza,Nov,6
Hospital-Psychiatric,COVID-19,Nov,14
LTCH,COVID-19,Nov,19
Retirement Home,Respiratory syncytial virus,Nov,11
Retirement Home,COVID-19,Nov,11
Hospital-Acute Care,COVID-19,Nov,19
Hospital-Acute Care,COVID-19,Nov,15
Retirement Home,COVID-19,Nov,11
LTCH,COVID-19,Nov,73
Hospital-Chronic Care,COVID-19,Nov,17
Hospital-Acute Care,COVID-19,Nov,17
Retirement Home,COVID-19,Nov,20
Hospital-Acute Care,COVID-19,Nov,50
LTCH,COVID-19,Nov,13
LTCH,COVID-19,Nov,30
Hospital-Acute Care,COVID-19,Nov,11
Hospital-Acute Care,COVID-19,Nov,12
Hospital-Chronic Care,Respiratory syncytial virus,Nov,7
Hospital-Chronic Care,COVID-19,Nov,14
Retirement Home,COVID-19,Oct,29
LTCH,Influenza,Oct,8
Hospital-Chronic Care,Enterovirus/Rhinovirus,Oct,13
Retirement Home,COVID-19,Oct,18
Hospital-Chronic Care,COVID-19,Oct,12
Retirement Home,COVID-19,Oct,16
Hospital-Acute Care,COVID-19,Oct,9
Retirement Home,COVID-19,Oct,18
LTCH,COVID-19,Oct,13
LTCH,COVID-19,Oct,16
Hospital-Acute Care,COVID-19,Oct,18
Retirement Home,COVID-19,Oct,15
LTCH,Enterovirus/Rhinovirus,Oct,19
Hospital-Acute Care,COVID-19,Oct,12
Hospital-Chronic Care,COVID-19,Oct,9
Hospital-Chronic Care,COVID-19,Oct,8
Hospital-Psychiatric,COVID-19,Oct,19
Retirement Home,COVID-19,Oct,31
Hospital-Acute Care,COVID-19,Oct,18
Hospital-Acute Care,COVID-19,Oct,14
Hospital-Acute Care,COVID-19,Oct,15
Hospital-Chronic Care,COVID-19,Oct,17
Retirement Home,COVID-19,Oct,16
LTCH,COVID-19,Oct,19
LTCH,COVID-19,Oct,5
Retirement Home,Metapneumovirus,Oct,19
Hospital-Acute Care,COVID-19,Oct,14
Hospital-Chronic Care,COVID-19,Oct,18
Hospital-Chronic Care,COVID-19,Oct,17
LTCH,COVID-19,Oct,22
Retirement Home,COVID-19,Oct,31
Retirement Home,COVID-19,Oct,19
Retirement Home,COVID-19,Oct,13
Hospital-Chronic Care,COVID-19,Oct,5
Retirement Home,COVID-19,Oct,40
Hospital-Acute Care,COVID-19,Oct,11
Retirement Home,COVID-19,Oct,24
LTCH,COVID-19,Oct,36
Retirement Home,COVID-19,Oct,18
Hospital-Acute Care,COVID-19,Oct,10
LTCH,COVID-19,Oct,16
Retirement Home,COVID-19,Oct,17
Retirement Home,Coronavirus,Oct,18
LTCH,COVID-19,Oct,25
LTCH,COVID-19,Oct,24
LTCH,COVID-19,Oct,16
Retirement Home,COVID-19,Oct,25
Retirement Home,COVID-19,Oct,25
LTCH,COVID-19,Oct,50
Retirement Home,COVID-19,Oct,26
Retirement Home,COVID-19,Oct,18
LTCH,Respiratory syncytial virus,Oct,19
Hospital-Acute Care,COVID-19,Oct,13
Retirement Home,COVID-19,Oct,19
Hospital-Chronic Care,COVID-19,Oct,27
LTCH,COVID-19,Oct,26
Hospital-Acute Care,COVID-19,Oct,10
Retirement Home,Respiratory syncytial virus,Oct,10
Hospital-Chronic Care,COVID-19,Oct,17
Hospital-Chronic Care,COVID-19,Oct,10
Retirement Home,COVID-19,Oct,10
Retirement Home,COVID-19,Oct,9
Retirement Home,COVID-19,Oct,17
Hospital-Acute Care,COVID-19,Oct,12
LTCH,COVID-19,Oct,14
Hospital-Acute Care,COVID-19,Oct,13
Retirement Home,Norovirus,Oct,14
LTCH,COVID-19,Oct,32
Retirement Home,COVID-19,Oct,18
LTCH,COVID-19,Oct,18
Retirement Home,COVID-19,Oct,19
LTCH,COVID-19,Oct,23
Hospital-Acute Care,COVID-19,Oct,37
Hospital-Chronic Care,COVID-19,Oct,23
LTCH,Enterovirus/Rhinovirus,Oct,6
Retirement Home,COVID-19,Oct,31
LTCH,COVID-19,Oct,17
LTCH,COVID-19,Oct,38
Hospital-Acute Care,COVID-19,Oct,13
LTCH,COVID-19,Oct,46
Hospital-Acute Care,COVID-19,Oct,14
Hospital-Acute Care,COVID-19,Oct,29
LTCH,COVID-19,Oct,16
LTCH,COVID-19,Oct,29
Retirement Home,COVID-19,Oct,25
LTCH,COVID-19,Oct,17
Hospital-Chronic Care,COVID-19,Oct,22
LTCH,COVID-19,Oct,27
Hospital-Acute Care,COVID-19,Oct,19
Retirement Home,Metapneumovirus,Oct,19
Retirement Home,COVID-19,Oct,12
LTCH,COVID-19,Oct,10
Hospital-Acute Care,COVID-19,Oct,9
Hospital-Chronic Care,COVID-19,Oct,12
LTCH,COVID-19,Oct,11
Hospital-Acute Care,COVID-19,Oct,20
Hospital-Acute Care,COVID-19,Oct,16
LTCH,COVID-19,Oct,15
LTCH,COVID-19,Oct,29
Retirement Home,COVID-19,Oct,41
LTCH,COVID-19,Oct,31
Retirement Home,COVID-19,Oct,20
Hospital-Acute Care,COVID-19,Oct,9
LTCH,COVID-19,Oct,22
Retirement Home,COVID-19,Oct,25
Hospital-Acute Care,COVID-19,Oct,8
Retirement Home,COVID-19,Oct,12
LTCH,COVID-19,Oct,18
Hospital-Chronic Care,COVID-19,Oct,12
LTCH,COVID-19,Oct,30
LTCH,COVID-19,Oct,9
Hospital-Acute Care,COVID-19,Oct,11
Hospital-Acute Care,COVID-19,Oct,19
Hospital-Chronic Care,COVID-19,Oct,21
Hospital-Chronic Care,COVID-19,Oct,12
LTCH,COVID-19,Oct,28
Hospital-Chronic Care,COVID-19,Oct,14
LTCH,COVID-19,Oct,37
LTCH,COVID-19,Oct,28
Hospital-Chronic Care,COVID-19,Oct,15
Hospital-Acute Care,COVID-19,Oct,35
LTCH,Enterovirus/Rhinovirus,Oct,10
LTCH,COVID-19,Oct,30
Hospital-Acute Care,COVID-19,Oct,15
Hospital-Acute Care,COVID-19,Oct,18
LTCH,COVID-19,Sep,15
LTCH,COVID-19,Sep,11
LTCH,COVID-19,Sep,14
Hospital-Chronic Care,COVID-19,Sep,16
LTCH,COVID-19,Sep,21
Hospital-Acute Care,COVID-19,Sep,16
LTCH,COVID-19,Sep,15
Hospital-Chronic Care,COVID-19,Sep,9
Retirement Home,COVID-19,Sep,18
Retirement Home,COVID-19,Sep,11
LTCH,COVID-19,Sep,12
LTCH,COVID-19,Sep,25
LTCH,COVID-19,Sep,36
LTCH,COVID-19,Sep,31
Hospital-Chronic Care,COVID-19,Sep,28
LTCH,Enterovirus/Rhinovirus,Sep,14
Retirement Home,COVID-19,Sep,21
Retirement Home,COVID-19,Sep,10
Hospital-Acute Care,COVID-19,Sep,11
Hospital-Acute Care,COVID-19,Sep,35
Hospital-Acute Care,COVID-19,Sep,11
LTCH,COVID-19,Sep,23
Hospital-Chronic Care,COVID-19,Sep,10
LTCH,Enterovirus/Rhinovirus,Sep,9
Retirement Home,COVID-19,Sep,48
LTCH,COVID-19,Sep,8
LTCH,COVID-19,Sep,37
Hospital-Chronic Care,COVID-19,Sep,10
Hospital-Chronic Care,COVID-19,Sep,13
Retirement Home,COVID-19,Sep,19
Hospital-Acute Care,COVID-19,Sep,14
Hospital-Chronic Care,COVID-19,Sep,15
LTCH,COVID-19,Sep,25
Retirement Home,COVID-19,Sep,17
Hospital-Chronic Care,COVID-19,Sep,21
LTCH,COVID-19,Sep,38
LTCH,COVID-19,Sep,59
LTCH,COVID-19,Sep,9
Hospital-Acute Care,COVID-19,Sep,14
LTCH,COVID-19,Sep,30
Hospital-Chronic Care,COVID-19,Sep,16
LTCH,COVID-19,Sep,10
Retirement Home,COVID-19,Sep,15
Hospital-Acute Care,COVID-19,Sep,15
LTCH,COVID-19,Sep,22
Hospital-Chronic Care,COVID-19,Sep,6
LTCH,COVID-19,Sep,23
Hospital-Acute Care,COVID-19,Sep,10
Retirement Home,COVID-19,Sep,24
Hospital-Acute Care,COVID-19,Sep,13
Retirement Home,COVID-19,Sep,18
Retirement Home,COVID-19,Sep,18
LTCH,COVID-19,Sep,18
LTCH,COVID-19,Sep,95
LTCH,COVID-19,Sep,21
Hospital-Chronic Care,COVID-19,Sep,22
Hospital-Acute Care,COVID-19,Sep,11
LTCH,Influenza,Sep,13
LTCH,COVID-19,Sep,34
Hospital-Acute Care,COVID-19,Sep,28
Retirement Home,COVID-19,Sep,14
LTCH,COVID-19,Sep,11
LTCH,COVID-19,Sep,23
Retirement Home,COVID-19,Sep,11
LTCH,COVID-19,Sep,12
LTCH,Norovirus,Sep,10
LTCH,COVID-19,Sep,65
Retirement Home,COVID-19,Sep,11
Hospital-Acute Care,COVID-19,Aug,8
Hospital-Acute Care,COVID-19,Aug,11
Hospital-Chronic Care,COVID-19,Aug,24
Hospital-Acute Care,COVID-19,Aug,10
Retirement Home,COVID-19,Aug,14
LTCH,COVID-19,Aug,14
LTCH,COVID-19,Aug,11
Hospital-Acute Care,COVID-19,Aug,9
LTCH,COVID-19,Aug,14
Hospital-Chronic Care,COVID-19,Aug,14
Retirement Home,COVID-19,Aug,12
LTCH,COVID-19,Aug,34
Retirement Home,COVID-19,Aug,12
Retirement Home,Enterovirus/Rhinovirus,Aug,7
LTCH,COVID-19,Aug,14
LTCH,COVID-19,Aug,20
Hospital-Acute Care,COVID-19,Aug,16
Hospital-Acute Care,COVID-19,Aug,11
Hospital-Chronic Care,COVID-19,Aug,28
LTCH,COVID-19,Aug,22
LTCH,Enterovirus/Rhinovirus,Aug,16
LTCH,Parainfluenza,Aug,8
LTCH,COVID-19,Aug,23
Retirement Home,COVID-19,Aug,22
LTCH,COVID-19,Aug,26
LTCH,COVID-19,Aug,28
Hospital-Acute Care,COVID-19,Aug,15
LTCH,COVID-19,Aug,29
Hospital-Chronic Care,COVID-19,Aug,12
Hospital-Acute Care,COVID-19,Aug,19
LTCH,COVID-19,Aug,19
Retirement Home,COVID-19,Aug,42
Hospital-Acute Care,COVID-19,Aug,13
Retirement Home,COVID-19,Aug,16
Hospital-Chronic Care,COVID-19,Aug,24
Retirement Home,COVID-19,Aug,14
Hospital-Acute Care,COVID-19,Aug,11
Hospital-Chronic Care,COVID-19,Aug,15
LTCH,COVID-19,Aug,15
Hospital-Acute Care,COVID-19,Aug,12
Hospital-Acute Care,COVID-19,Aug,11
Hospital-Chronic Care,COVID-19,Aug,15
Retirement Home,COVID-19,Aug,10
Retirement Home,COVID-19,Aug,10
Hospital-Chronic Care,COVID-19,Aug,12
Retirement Home,COVID-19,Aug,16
Hospital-Acute Care,COVID-19,Aug,13
Hospital-Chronic Care,COVID-19,Aug,8
Hospital-Acute Care,COVID-19,Aug,17
Retirement Home,COVID-19,Aug,16
LTCH,COVID-19,Aug,42
LTCH,COVID-19,Aug,16
LTCH,COVID-19,Aug,15
LTCH,COVID-19,Aug,23
Hospital-Chronic Care,COVID-19,Aug,21
LTCH,COVID-19,Aug,25
Retirement Home,COVID-19,Aug,22
LTCH,COVID-19,Aug,35
LTCH,Enterovirus/Rhinovirus,Aug,23
Retirement Home,COVID-19,Aug,30
Retirement Home,COVID-19,Aug,29
Hospital-Acute Care,COVID-19,Aug,10
LTCH,COVID-19,Aug,31
LTCH,COVID-19,Aug,23
Retirement Home,COVID-19,Aug,22
Hospital-Acute Care,COVID-19,Aug,9
Hospital-Psychiatric,COVID-19,Aug,10
Hospital-Acute Care,COVID-19,Aug,11
Hospital-Acute Care,COVID-19,Aug,10
Hospital-Chronic Care,COVID-19,Aug,10
LTCH,COVID-19,Aug,27
LTCH,COVID-19,Aug,19
LTCH,COVID-19,Aug,32
Retirement Home,COVID-19,Aug,13
LTCH,Coronavirus,Aug,11
Retirement Home,COVID-19,Aug,8
LTCH,COVID-19,Aug,21
Hospital-Chronic Care,COVID-19,Aug,18
Hospital-Chronic Care,COVID-19,Aug,10
Hospital-Chronic Care,COVID-19,Aug,32
Hospital-Acute Care,COVID-19,Jul,6
LTCH,COVID-19,Jul,16
LTCH,COVID-19,Jul,28
LTCH,COVID-19,Jul,17
Hospital-Acute Care,COVID-19,Jul,17
Retirement Home,COVID-19,Jul,11
LTCH,COVID-19,Jul,17
LTCH,COVID-19,Jul,16
LTCH,COVID-19,Jul,18
Hospital-Acute Care,COVID-19,Jul,14
Hospital-Chronic Care,COVID-19,Jul,5
Hospital-Chronic Care,COVID-19,Jul,10
LTCH,COVID-19,Jul,23
LTCH,COVID-19,Jul,52
LTCH,COVID-19,Jul,31
Hospital-Acute Care,COVID-19,Jul,11
LTCH,COVID-19,Jul,12
LTCH,COVID-19,Jul,25
Hospital-Chronic Care,COVID-19,Jul,11
LTCH,COVID-19,Jul,15
Hospital-Chronic Care,COVID-19,Jul,13
Retirement Home,COVID-19,Jul,21
Hospital-Acute Care,COVID-19,Jul,22
Hospital-Acute Care,COVID-19,Jul,15
Hospital-Chronic Care,COVID-19,Jul,16
Retirement Home,COVID-19,Jul,20
LTCH,COVID-19,Jul,28
Hospital-Acute Care,COVID-19,Jul,10
Hospital-Chronic Care,COVID-19,Jul,15
Hospital-Acute Care,COVID-19,Jul,14
LTCH,COVID-19,Jul,61
Hospital-Acute Care,COVID-19,Jul,9
Retirement Home,COVID-19,Jul,25
LTCH,COVID-19,Jul,13
Hospital-Acute Care,COVID-19,Jul,13
Hospital-Acute Care,COVID-19,Jul,12
LTCH,COVID-19,Jul,25
Retirement Home,COVID-19,Jul,48
Hospital-Acute Care,COVID-19,Jul,9
Hospital-Acute Care,COVID-19,Jul,17
Hospital-Acute Care,COVID-19,Jul,11
LTCH,Norovirus,Jul,16
Retirement Home,COVID-19,Jul,11
Hospital-Acute Care,COVID-19,Jul,13
LTCH,COVID-19,Jul,21
Retirement Home,COVID-19,Jul,28
LTCH,COVID-19,Jul,22
Hospital-Chronic Care,COVID-19,Jul,12
Retirement Home,COVID-19,Jul,20
LTCH,COVID-19,Jul,27
Hospital-Chronic Care,COVID-19,Jul,13
LTCH,COVID-19,Jul,10
Hospital-Psychiatric,COVID-19,Jul,17
Retirement Home,COVID-19,Jul,30
Retirement Home,COVID-19,Jul,15
LTCH,COVID-19,Jul,70
LTCH,COVID-19,Jul,38
Hospital-Chronic Care,COVID-19,Jul,30
Hospital-Acute Care,COVID-19,Jul,8
LTCH,COVID-19,Jul,11
LTCH,COVID-19,Jul,11
LTCH,COVID-19,Jul,14
LTCH,COVID-19,Jul,17
LTCH,COVID-19,Jul,30
LTCH,COVID-19,Jul,19
LTCH,COVID-19,Jul,22
Hospital-Acute Care,COVID-19,Jul,11
LTCH,COVID-19,Jul,53
Hospital-Acute Care,COVID-19,Jul,20
Hospital-Acute Care,COVID-19,Jul,14
Hospital-Chronic Care,COVID-19,Jul,15
Retirement Home,COVID-19,Jul,64
Hospital-Chronic Care,COVID-19,Jul,15
Hospital-Acute Care,COVID-19,Jul,12
LTCH,COVID-19,Jul,16
Hospital-Acute Care,COVID-19,Jul,12
LTCH,COVID-19,Jul,23
LTCH,COVID-19,Jul,12
Retirement Home,COVID-19,Jul,16
LTCH,COVID-19,Jul,20
LTCH,COVID-19,Jul,31
LTCH,COVID-19,Jul,28
Hospital-Chronic Care,COVID-19,Jul,10
Retirement Home,COVID-19,Jul,21
Hospital-Acute Care,COVID-19,Jul,16
LTCH,COVID-19,Jul,35
LTCH,COVID-19,Jul,22
Hospital-Acute Care,COVID-19,Jul,26
LTCH,COVID-19,Jul,15
LTCH,COVID-19,Jul,49
LTCH,COVID-19,Jul,21
LTCH,COVID-19,Jul,18
LTCH,COVID-19,Jul,35
Retirement Home,COVID-19,Jul,24
LTCH,COVID-19,Jul,35
Retirement Home,COVID-19,Jul,16
Retirement Home,COVID-19,Jul,34
LTCH,COVID-19,Jul,18
Hospital-Chronic Care,COVID-19,Jul,15
Hospital-Acute Care,COVID-19,Jul,26
Hospital-Acute Care,COVID-19,Jul,22
Hospital-Acute Care,COVID-19,Jul,11
LTCH,COVID-19,Jul,30
Retirement Home,COVID-19,Jul,35
LTCH,COVID-19,Jul,43
Hospital-Acute Care,COVID-19,Jul,28
LTCH,Enterovirus/Rhinovirus,Jul,9
LTCH,COVID-19,Jul,20
LTCH,COVID-19,Jul,16
LTCH,COVID-19,Jul,39
Hospital-Acute Care,COVID-19,Jul,13
LTCH,COVID-19,Jul,28
